name,value
Tom Lantos,31.44300503
Benjamin A. Gilman,26.10557534
"Jesse L. Jackson, Jr.",18.7207846
Edward J. Markey,18.59971308
John Joseph Moakley,18.50142297
Don Young,16.02410964
W. J. (Billy) Tauzin,12.80598335
Tom DeLay,12.44322558
Joe Scarborough,12.25505938
Philip M. Crane,11.96650379
Nancy E. Boyda,11.84765893
Ellen O. Tauscher,11.79870745
John Lewis,11.52126377
Edward M. Kennedy,11.10381627
Ileana Ros-Lehtinen,10.75351985
Julia Carson,9.161325566
Bennie G. Thompson,8.588004623
Dennis J. Kucinich,8.519396131
Christopher H. Smith,8.411904092
Anthony D. Weiner,8.065307438
Carolyn McCarthy,8.056720058
Helen Chenoweth-Hage,7.921847194
Stephanie Tubbs Jones,7.823643316
"John Conyers, Jr.",7.25904838
Nita M. Lowey,7.248603785
Heather Wilson,7.218641512
Harold Rogers,7.160176285
Tom Davis,7.008558626
Gordon H. Smith,6.875989551
Janice D. Schakowsky,6.505898878
Wm. Lacy Clay,6.412856361
Jerrold Nadler,6.411070609
Betty McCollum,6.165354045
Carolyn B. Maloney,5.97723772
Richard Burr,5.845006548
"Frank Pallone, Jr.",5.820467791
Mary L. Landrieu,5.761689289
Barney Frank,5.706745761
Rush Holt,5.621063037
Lynn C. Woolsey,5.37069806
David Scott,5.140699321
Richard G. Lugar,4.810109692
Thaddeus G. McCotter,4.731513582
John F. Kerry,4.69327104
Henry J. Hyde,4.455734928
Fred Upton,4.429559276
Sam Gejdenson,4.403447368
Mac Thornberry,4.366323854
Jerry Moran,4.219071062
Byron L. Dorgan,4.174300205
Michael M. Honda,4.163930235
Jim McDermott,4.102585716
Richard J. Durbin,3.954877759
Greg Ganske,3.815558323
"F. James Sensenbrenner, Jr.",3.673134049
James P. McGovern,3.625720837
Sam Johnson,3.62190644
Tony P. Hall,3.576072871
Jim Saxton,3.349064933
Max Baucus,3.273079126
Dennis Moore,3.197698101
James A. Leach,3.193542041
Dianne Feinstein,3.119636632
Kent Conrad,3.073850197
Joseph I. Lieberman,3.073048808
Ernest F. Hollings,3.048635548
Nancy Pelosi,3.026799363
Barack Obama,3.024519139
Jesse Helms,3.000042111
Daniel K. Akaka,2.953011183
John Ashcroft,2.935465444
Lamar Alexander,2.886469973
Christopher Shays,2.826952861
Mike DeWine,2.742587393
Olympia J. Snowe,2.714771726
John Barrow,2.65166849
Juanita Millender-McDonald,2.563737242
Michael N. Castle,2.555380917
Hilda L. Solis,2.507749675
Alcee L. Hastings,2.479230717
Bill McCollum,2.46070424
Debbie Wasserman Schultz,2.445046257
Debbie Stabenow,2.364966009
Christopher J. Dodd,2.345587414
Charlie Melancon,2.269251488
John J. Duncan,2.099087085
Sam Graves,2.050570453
William H. Frist,1.984936374
Fred Thompson,1.975417421
Eliot L. Engel,1.908284316
Ander Crenshaw,1.8806296
Chuck Hagel,1.859485968
Ted Poe,1.811220384
Thomas H. Allen,1.798034729
Donald M. Payne,1.775697991
Henry A. Waxman,1.753301357
Chris Cannon,1.653266589
Jane Harman,1.597493832
Bart Stupak,1.593821995
Judd Gregg,1.524734767
Chuck Grassley,1.501672579
Bob Graham,1.441131529
Jeff Bingaman,1.430746333
Patrick J. Leahy,1.4297335
Constance A. Morella,1.29549712
John McCain,1.29496962
Thad Cochran,1.282996054
Howard P. "Buck" McKeon,1.282403536
Sue Wilkins Myrick,1.253655231
Brian Baird,1.227902215
Tom Harkin,1.206969952
Susan M. Collins,1.176604674
Russell D. Feingold,1.141518515
William M. Thomas,1.024728626
Howard L. Berman,0.969944552
Fortney Pete Stark,0.916115114
Dave Camp,0.898679154
Bob Goodlatte,0.881658611
Yvette D. Clarke,0.857647012
Ron Wyden,0.830263012
Spencer Bachus,0.810709215
Carl Levin,0.810651966
Ginny Brown-Waite,0.809636335
Sam Brownback,0.803298605
Patty Murray,0.783095848
Bernard Sanders,0.772167102
Adam B. Schiff,0.771158478
Marion Berry,0.744912335
Orrin G. Hatch,0.73677319
Norm Coleman,0.725224271
Shelley Berkley,0.723466819
Michael B. Enzi,0.701782185
Bart Gordon,0.69712553
Sherwood Boehlert,0.675579218
Sherrod Brown,0.675168086
Diane E. Watson,0.666270587
Daniel K. Inouye,0.66058759
Ted Stevens,0.657057907
Harry Reid,0.654224828
David R. Obey,0.616112103
Eddie Bernice Johnson,0.599833447
Robert C. Byrd,0.596340309
George W. Gekas,0.566545065
Jerry Weller,0.562272118
Patrick J. Kennedy,0.553709979
Daniel Patrick Moynihan,0.544815325
Christopher P. Carney,0.531750015
Robert P. Casey Jr.,0.499408553
Charles E. Schumer,0.461673667
Robert B. Aderholt,0.452662058
Sheldon Whitehouse,0.451159736
Peter J. Visclosky,0.438426283
Jeff Flake,0.415092386
Arlen Specter,0.387775621
Lois Capps,0.366104213
Bobby L. Rush,0.363981718
Leonard L. Boswell,0.356756526
Robert W. Ney,0.348276384
John P. Murtha,0.336991525
Ben Nighthorse Campbell,0.317830179
Tim Murphy,0.315376641
Dana Rohrabacher,0.306080639
Pete V. Domenici,0.300960168
Rosa L. DeLauro,0.297358138
John A. Yarmuth,0.289540504
Bob Barr,0.277500005
Porter J. Goss,0.277500005
Louie Gohmert,0.277500005
Lisa Murkowski,0.276438641
Hillary Rodham Clinton,0.274634569
"Henry E. Brown, Jr.",0.269468873
John Warner,0.247849676
Thomas W. Ewing,0.238541671
Paul D. Wellstone,0.225586932
Amy Klobuchar,0.21929351
J. Gresham Barrett,0.215404852
Bill Nelson,0.204543403
Robert Menendez,0.202737597
Nick J. Rahall II,0.20007218
Blanche L. Lincoln,0.199687799
Mark Udall,0.196954497
Joseph R. Biden Jr.,0.196884007
Jim Costa,0.189160714
Wayne Allard,0.181875001
Joseph M. Hoeffel,0.181875001
Greg Walden,0.181875001
Michael Bilirakis,0.175958905
Lindsey Graham,0.168214286
Vern Buchanan,0.165937501
Trent Lott,0.165937501
Floyd Spence,0.164166667
Duncan Hunter,0.164166667
Rob Simmons,0.158793103
Ron Paul,0.156710526
Luis G. Fortuno,0.155795455
Steven R. Rothman,0.153355263
Jon S. Corzine,0.153355263
David Schweikert,0.15
Edward R. Royce,0.15
Joe Wilson,0.15
Gary L. Ackerman,0.15
Joseph Crowley,0.15
Steve Cohen,0.15
"Bill Pascrell, Jr.",0.15
Norman D. Dicks,0.15
Brian Higgins,0.15
Ruben Hinojosa,0.15
Jim Matheson,0.15
Dennis A. Cardoza,0.15
Barbara Lee,0.15
Mazie K. Hirono,0.15
Edolphus Towns,0.15
Dan Burton,0.15
James P. Moran,0.15
Mark Kirk,0.15
David Wu,0.15
Bob Etheridge,0.15
Danny K. Davis,0.15
Elijah E. Cummings,0.15
Candice S. Miller,0.15
Christopher Murphy,0.15
Paul W. Hodes,0.15
James R. Langevin,0.15
Betty Sutton,0.15
Luis V. Gutierrez,0.15
John Shimkus,0.15
John Linder,0.15
Sander M. Levin,0.15
Jerry McNerney,0.15
Ed Pastor,0.15
Steve Israel,0.15
Albio Sires,0.15
Timothy J. Walz,0.15
Tammy Baldwin,0.15
Bob Filner,0.15
Louise McIntosh Slaughter,0.15
Maurice D. Hinchey,0.15
Michael E. Capuano,0.15
Chris Van Hollen,0.15
Stephen F. Lynch,0.15
Robert Wexler,0.15
Loretta Sanchez,0.15
Ron Klein,0.15
John Abney Culberson,0.15
Sheila Jackson Lee,0.15
Gene Green,0.15
Saxby Chambliss,0.15
Paul E. Gillmor,0.15
Roscoe G. Bartlett,0.15
Pete Sessions,0.15
Gene Taylor,0.15
Wayne T. Gilchrest,0.15
John N. Hostettler,0.15
John E. Peterson,0.15
Johnny Isakson,0.15
Joe Skeen,0.15
Jim Ryun,0.15
Raul M. Grijalva,0.15
Lincoln Diaz-Balart,0.15
Terry Everett,0.15
Cass Ballenger,0.15
Mary Bono Mack,0.15
Eni F. H. Faleomavaega,0.15
Phil English,0.15
Steve Chabot,0.15
John B. Shadegg,0.15
Pat Toomey,0.15
Melissa A. Hart,0.15
Gil Gutknecht,0.15
Thomas G. Tancredo,0.15
Joseph R. Pitts,0.15
W. Todd Akin,0.15
Wally Herger,0.15
Van Hilleary,0.15
Jim DeMint,0.15
Todd Russell Platts,0.15
Thomas A. Daschle,0.15
Max Cleland,0.15
Rick Santorum,0.15
Robert G. Torricelli,0.15
John Ensign,0.15
George Allen,0.15
Larry E. Craig,0.15
Richard C. Shelby,0.15
Bob Smith,0.15
Brad Sherman,0.15
Allyson Y. Schwartz,0.15
Nick Lampson,0.15
Frank A. LoBiondo,0.15
Joyce Beatty,0.15
Robert E. Andrews,0.15
John D. Dingell,0.15
Charles W. Norwood,0.15
Marge Roukema,0.15
David E. Bonior,0.15
Ted Strickland,0.15
Harold E. Ford,0.15
John E. Sweeney,0.15
Major R. Owens,0.15
Jim Ramstad,0.15
James C. Greenwood,0.15
Stephen Horn,0.15
Jo Ann Emerson,0.15
Zell Miller,0.15
Daniel Lipinski,0.15
Cory Gardner,0.15
Walter B. Jones,0.15
Jim Davis,0.15
Virgil H. Goode Jr.,0.15
Mark Green,0.15
Karen L. Thurman,0.15
Cliff Stearns,0.15
Corrine Brown,0.15
Mark Foley,0.15
Ralph M. Hall,0.15
Ric Keller,0.15
Silvestre Reyes,0.15
John E. Sununu,0.15
Jon Tester,0.15
Claire McCaskill,0.15
Roger F. Wicker,0.15
Maria Cantwell,0.15
Frank R. Lautenberg,0.15
Barbara Boxer,0.15
Barbara A. Mikulski,0.15
John D. Rockefeller IV,0.15
Pat Roberts,0.15
Ken Salazar,0.15
Mike Crapo,0.15
Tim Johnson,0.15
Jeff Sessions,0.15
Evan Bayh,0.15
Ben Nelson,0.15
Michael G. Oxley,0.15
Joe Barton,0.15
Mike Pence,0.15
Doris O. Matsui,0.15
Mike Ferguson,0.15
Artur Davis,0.15
Marilyn N. Musgrave,0.15
William J. Jefferson,0.15
Dan Boren,0.15
Tim Holden,0.15
Michael T. McCaul,0.15
Patrick J. Tiberi,0.15
Kirsten E. Gillibrand,0.15
Joe Knollenberg,0.15
John Kline,0.15
Timothy H. Bishop,0.15
John M. McHugh,0.15
Chaka Fattah,0.15
Harry E. Mitchell,0.15
Ed Perlmutter,0.15
Michael R. McNulty,0.15
Roy Blunt,0.15
Jo Bonner,0.15
Mike McIntyre,0.15
Michael F. Doyle,0.15
Thelma D. Drake,0.15
Henry Cuellar,0.15
Frank R. Wolf,0.15
Tom Cole,0.15
Grace F. Napolitano,0.15
Charles W. Dent,0.15
Jon C. Porter,0.15
Tim Mahoney,0.15
Deborah Pryce,0.15
Cathy McMorris Rodgers,0.15
Doug Lamborn,0.15
Connie Mack,0.15
Anna G. Eshoo,0.15
Lynn A. Westmoreland,0.15
Ken Calvert,0.15
Brian P. Bilbray,0.15
Peter Welch,0.15
Eric Cantor,0.15
Stephanie Herseth Sandlin,0.15
Joe Sestak,0.15
Russ Carnahan,0.15
Rick Renzi,0.15
David G. Reichert,0.15
Tim Walberg,0.15
Zach Wamp,0.15
Vernon J. Ehlers,0.15
Barbara Cubin,0.15
Ike Skelton,0.15
Geoff Davis,0.15
Elton Gallegly,0.15
Tom Latham,0.15
Diana DeGette,0.15
Tom Feeney,0.15
Devin Nunes,0.15
Joe Baca,0.15
Zoe Lofgren,0.15
Patrick T. McHenry,0.15
Ben Chandler,0.15
Randy Neugebauer,0.15
Gabrielle Giffords,0.15
Mike Rogers,0.15
Patrick J. Murphy,0.15
John Sullivan,0.15
Kendrick B. Meek,0.15
Michael K. Simpson,0.15
Gus M. Bilirakis,0.15
Darlene Hooley,0.15
Bill Sali,0.15
Steve King,0.15
Marsha Blackburn,0.15
Trent Franks,0.15
"Henry C. ""Hank"" Johnson, Jr.",0.15
Jim Gerlach,0.15
Virginia Foxx,0.15
Ron Lewis,0.15
Dave Weldon,0.15
Melissa L. Bean,0.15
Scott Garrett,0.15
Lee Terry,0.15
John Campbell,0.15
Phil Gingrey,0.15
Dale E. Kildee,0.15
J. Randy Forbes,0.15
Linda T. Sanchez,0.15
Frank D. Lucas,0.15
"Sanford D. Bishop, Jr.",0.15
Steny H. Hoyer,0.15
Charles A. Gonzalez,0.15
Al Green,0.15
James T. Walsh,0.15
Paul D. Ryan,0.15
Steven C. LaTourette,0.15
John P. Sarbanes,0.15
Lincoln Davis,0.15
Rob Bishop,0.15
Michele Bachmann,0.15
Albert Russell Wynn,0.15
Denny Rehberg,0.15
Jim Cooper,0.15
Vito Fossella,0.15
Charles A. Wilson,0.15
Joe Courtney,0.15
