person_name,score
Tom Lantos,27.88301591724157
Benjamin A. Gilman,22.651792327314616
Richard L. Hanna,19.817927951365714
Mike Rogers,18.709231151267886
Edward J. Markey,16.720223491638894
John Joseph Moakley,16.13292794302106
Steve King,14.955907832458615
Don Young,13.97406811825931
"Jesse L. Jackson, Jr.",13.625799579545855
George Miller,12.207594630867243
Ileana Ros-Lehtinen,11.820664946362377
David Wu,10.993298507854342
Philip M. Crane,10.87265188470483
Tom DeLay,10.792578192427756
W. J. (Billy) Tauzin,10.677675537392497
Joe Scarborough,10.485382238775493
Ellen O. Tauscher,10.37020048238337
Christopher H. Smith,10.26256127692759
John Lewis,9.61479906626046
Edward M. Kennedy,9.573305850103496
Nancy E. Boyda,9.296077659726144
Michael F. Doyle,8.941806130297481
James P. McGovern,8.560191933065652
Bennie G. Thompson,7.127663380652665
Carolyn McCarthy,6.9382553115487084
Julia Carson,6.937514082156122
Dennis J. Kucinich,6.662540301308037
Joseph I. Lieberman,6.577066544629633
Wm. Lacy Clay,6.514854291081428
Anthony D. Weiner,6.510580027103425
Helen Chenoweth-Hage,6.432401774451137
Nan A. S. Hayworth,6.417041146196425
Harold Rogers,6.376517657004297
"John Conyers, Jr.",6.337042598053814
Heather Wilson,5.972915170155464
Gordon H. Smith,5.95215260926634
Robert Menendez,5.865328633040189
Rush Holt,5.8599183376878505
Mary L. Landrieu,5.7903455149382355
Tom Davis,5.775713047944009
Jerrold Nadler,5.725175123289227
Stephanie Tubbs Jones,5.708469604700803
Nita M. Lowey,5.428441664390266
Richard J. Durbin,5.382791743613781
"Frank Pallone, Jr.",5.234218952804804
Carolyn B. Maloney,5.065861060656607
Richard Burr,4.985625658556819
Janice D. Schakowsky,4.885817763209343
Ron Kind,4.8559733729809515
Richard G. Lugar,4.84849748313427
John F. Kerry,4.837489100173116
Patrick J. Leahy,4.670351176895201
Sam Gejdenson,4.61086868736893
Michael M. Honda,4.579252800531685
James M. Inhofe,4.567495412845164
Betty McCollum,4.460033497959377
Thaddeus G. McCotter,4.366025025583803
Judy Biggert,4.357612425833941
Stephen Lee Fincher,4.2937729032710195
Lynn C. Woolsey,4.120273440517485
Henry J. Hyde,4.005469662509858
Barney Frank,3.9458219388499857
Edward R. Royce,3.8348373390734185
John F. Tierney,3.761555123701692
Ted Poe,3.7471779824234552
Olympia J. Snowe,3.7209004829637706
Max Baucus,3.6329199643805614
Peter T. King,3.600264978967606
Sam Johnson,3.580749618820846
Tony P. Hall,3.5521821057423954
Timothy H. Bishop,3.4985975504852837
Byron L. Dorgan,3.4277543244883412
Dennis Moore,3.3532157207839192
Mac Thornberry,3.3358263133093713
Sheila Jackson Lee,3.3224140210077175
Peter A. DeFazio,3.306267276685685
David Scott,3.2559822379611436
Michael N. Castle,3.242441515717655
Jim McDermott,3.194223982468248
Vernon J. Ehlers,3.1232518974691627
Barack Obama,3.058541241567582
Fred Upton,3.048116255551576
"Howard P. ""Buck"" McKeon",3.023396680410951
Jeff Bingaman,2.9275085296481844
Dianne Feinstein,2.910211974941194
Frank R. Wolf,2.8829685673117646
Greg Ganske,2.8383260579779743
Jerry Moran,2.83330242196098
"F. James Sensenbrenner, Jr.",2.822281312849372
Raul M. Grijalva,2.7699345902539787
Kent Conrad,2.7691889847628776
Ernest F. Hollings,2.7483002183958884
Louise McIntosh Slaughter,2.70338392900303
Daniel K. Akaka,2.695660645514726
Dale E. Kildee,2.6757094392552973
James A. Leach,2.6637334920465942
Jesse Helms,2.6550971864257002
Bobby L. Rush,2.643168748542666
Kathy Castor,2.5905323104932902
Nancy Pelosi,2.5832234755158425
Steny H. Hoyer,2.5782836883328852
Jackie Speier,2.56619836082682
Edolphus Towns,2.526918557565659
Tom Harkin,2.474272767268121
John Ashcroft,2.4129551986698065
Christopher J. Dodd,2.410051246453076
Jim Saxton,2.4081106620840726
John Campbell,2.365759293641896
Mike DeWine,2.2387777287978676
Christopher Shays,2.214090810529888
"Bill Pascrell, Jr.",2.1869274123571815
Lamar Alexander,2.142156781814992
Leonard Lance,2.1024990413337954
Bill McCollum,2.092821139562875
Hilda L. Solis,2.0453779081814
John Barrow,2.040457302844152
Juanita Millender-McDonald,2.034772316273302
Sam Graves,2.002774217445403
Debbie Wasserman Schultz,1.9697263980284336
Alcee L. Hastings,1.9427710331510752
Suzanne Bonamici,1.926245454698801
Barbara Lee,1.9192337463609876
Dave Camp,1.9116196702001617
Thomas H. Allen,1.8891412595286967
Mazie K. Hirono,1.8876215294934806
Debbie Stabenow,1.8608499377965925
John J. Duncan,1.850781191373244
Patrick J. Kennedy,1.8384056734386833
Charlie Melancon,1.8209921230096368
Tammy Baldwin,1.8184015336446466
Gene Green,1.7974757802207013
Brian Baird,1.7390447568148372
Fred Thompson,1.7346736993640661
Tom Price,1.7006037021405062
Rick Larsen,1.673080730251968
William H. Frist,1.645648152148351
Ander Crenshaw,1.6258346821647138
Eliot L. Engel,1.6122019708156585
Randy Hultgren,1.5811110653914506
Steve Austria,1.551208640402183
Henry A. Waxman,1.5356777092441913
Susan A. Davis,1.5209398034494368
Steve Cohen,1.4680261124856775
Todd Russell Platts,1.4562379227019848
J. Randy Forbes,1.3635110962204635
Chip Cravaack,1.3550357182975856
Gus M. Bilirakis,1.3328995216172188
Chris Cannon,1.3129924092208964
Diana DeGette,1.301437110919505
Jerry F. Costello,1.294696538615972
Bernard Sanders,1.2741514321416618
Thad Cochran,1.2740523168351503
Jim Costa,1.2561751239933072
Barbara Boxer,1.2559461015742274
Chuck Grassley,1.2530784334521738
Charles E. Schumer,1.2496115754824133
Jack Reed,1.217327838065103
Kirsten E. Gillibrand,1.1878067772369831
Bob Graham,1.1721983666531741
Sam Brownback,1.1692363472189755
Sheldon Whitehouse,1.1594537420663984
Frank R. Lautenberg,1.1518644488882277
John McCain,1.132754076155834
Susan M. Collins,1.1318752019200475
Chuck Hagel,1.107767515070736
Sherrod Brown,1.077733186888509
Donald M. Payne,1.0630316202063114
James Lankford,1.0193655953393321
Judd Gregg,1.0191158385016023
Jane Harman,0.9457809041254223
Spencer Bachus,0.939204726042226
Constance A. Morella,0.929819255787879
Kay R. Hagan,0.8908112483797593
Russell D. Feingold,0.8884128657635301
Sue Wilkins Myrick,0.8878177005331963
Austin Scott,0.8669333694386296
Howard L. Berman,0.8557278599822893
Bart Stupak,0.8401986707933247
Jared Polis,0.8342715263832362
Bob Goodlatte,0.7945433135377242
Yvette D. Clarke,0.7827707955380904
Charles A. Wilson,0.7466031758929602
Ginny Brown-Waite,0.7423544376390055
Ron Wyden,0.7367674430599436
Orrin G. Hatch,0.732768713776022
John S. Tanner,0.7283606696641072
David Loebsack,0.7163620883366093
Patty Murray,0.7117058981442823
Shelley Berkley,0.7004654386779294
Fortney Pete Stark,0.6973216991405935
Lisa Murkowski,0.6897803696803751
Gary C. Peters,0.6853495228337124
Candice S. Miller,0.6519291789270936
William M. Thomas,0.636859637219459
Carl Levin,0.6324690883979204
Norm Coleman,0.6301060114288702
Michael B. Enzi,0.6256498567527162
Pat Toomey,0.6172092881286516
Diane E. Watson,0.6122229633387178
George W. Gekas,0.6015386915067211
Lois Capps,0.6011174532352017
Jeff  Merkley,0.5918848721310497
Bart Gordon,0.5851928354939447
Daniel K. Inouye,0.5827569704619236
Edward E. Kaufman,0.5795506858848968
Wally Herger,0.5693643264705315
Marion Berry,0.5570442029333206
Geoff Davis,0.5510711881564929
Andy Harris,0.5484407701995222
Ted Stevens,0.5454194226884285
Anna G. Eshoo,0.5421507361577824
Earl Pomeroy,0.5362900802632794
Harry Reid,0.5338983593625017
Daniel Patrick Moynihan,0.5332259090500884
Robert P. Casey Jr.,0.529492375452537
Zoe Lofgren,0.5220627871109172
Robert B. Aderholt,0.5168872720561921
Adam Smith,0.5049312864430249
Charles F. Bass,0.4995605968404562
David R. Obey,0.49937330884858966
Jerry Weller,0.49431102920207204
James P. Moran,0.4831231093383395
