Person_name,score
John Katko,15.06732328
Michael T. McCaul,10.03315033
"Charles J. ""Chuck"" Fleischmann",5.907079916
Mike Rogers,5.691417762
"Henry C. ""Hank"" Johnson, Jr.",5.116498453
Will Hurd,4.285019459
"F. James Sensenbrenner, Jr.",4.248557726
Stephanie N. Murphy,3.624726878
Bennie G. Thompson,3.611420972
Derek Kilmer,3.523642639
Joseph M. Hoeffel,3.507847415
Dianne Feinstein,3.454106493
Barbara Lee,3.19069183
Harry Reid,2.913875227
Ron Wright,2.748466528
Tom Cotton,2.657764234
Elise M. Stefanik,2.654152879
James R. Langevin,2.536603645
Elijah E. Cummings,2.408275751
Brendan F. Boyle,2.393089557
David N. Cicilline,2.293191063
Debbie Wasserman Schultz,2.108902727
Brian Schatz,1.928945187
"Daniel M. Donovan, Jr.",1.916348613
Daniel Webster,1.733508399
John McCain,1.676821444
John Cornyn,1.669636429
Amy Klobuchar,1.651636422
Jack Reed,1.618252553
Ron Wyden,1.605298711
 Jon S. Corzine,1.603959835
Mark Takano,1.521379896
Joseph I. Lieberman,1.33874792
Steve Israel,1.297499919
Ron Johnson,1.200022865
Gary C. Peters,1.181639204
Jackie Walorski,1.08500002
Justin Amash,1.080041688
Cory Gardner,0.996446019
Angus S. King Jr. ,0.921201205
Gerald E. Connolly,0.919249976
Senator John D. Rockefeller IV,0.907791164
Patrick J. Leahy,0.907562072
Jerry Moran,0.897773115
Sherrod Brown,0.861463078
Mac Thornberry,0.856963293
Yvette D. Clarke,0.853191438
Ted Lieu,0.844643563
Marco Rubio,0.843291488
Russell D. Feingold,0.829674837
Jason Crow,0.823508989
Mark R. Warner,0.791990092
Carolyn McCarthy,0.784896855
Kirsten E. Gillibrand,0.734375
Bob Graham,0.686836167
 Mark R. Warner,0.684675586
Sheldon Whitehouse,0.67102069
Devin Nunes,0.664250016
Joe Wilson,0.65999997
James E. Risch,0.656224081
Arlen Specter,0.569391963
Mitch McConnell,0.566311905
Steve Chabot,0.562090636
Robert E. Latta,0.537513053
 Dennis DeConcini,0.532500015
Margaret Wood Hassan,0.512236917
Jerry McNerney,0.467693051
Rob Portman,0.448073812
C. A. Dutch Ruppersberger,0.40500001
 Gary C. Peters,0.382986839
Thomas R. Carper,0.353988844
Richard Blumenthal,0.342889292
Mike Rounds,0.338642553
David Vitter,0.335831536
Maria Cantwell,0.335661258
Tulsi Gabbard,0.320000003
John D. Rockefeller IV,0.316964295
